snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,azhar927/network/google/3.4.0,azhar927,network,google,5060,False,https://github.com/azhar927/terraform-google-network,2021-10-17T01:45:25.214163Z,3.4.0,A Terraform module that makes it easy to set up a new VPC Network in GCP.
2026-07-13,vitaliburak/kubernetes-engine/google/1.0.0,vitaliburak,kubernetes-engine,google,5059,False,https://github.com/vitaliburak/terraform-google-kubernetes-engine,2020-12-11T02:48:51.853931Z,1.0.0,
2026-07-13,DeimosCloud/gcr/google/1.0.0,DeimosCloud,gcr,google,5058,False,https://github.com/DeimosCloud/terraform-google-gcr,2022-05-14T14:50:27.015335Z,1.0.0,
2026-07-13,Gheorghe-Rodideal/vpc/google/1.1.2,Gheorghe-Rodideal,vpc,google,5057,False,https://github.com/grodideal/terraform-google-vpc,2020-12-10T20:24:31.000387Z,1.1.2,
2026-07-13,kasna-cloud/gcve/google/1.0.0,kasna-cloud,gcve,google,5055,False,https://github.com/kasna-cloud/terraform-google-gcve,2022-02-28T04:17:16.115198Z,1.0.0,
2026-07-13,vrodi18/kubernetes-engine/google/1.0.1,vrodi18,kubernetes-engine,google,5049,False,https://github.com/vrodi18/terraform-google-kubernetes-engine,2020-12-11T02:31:16.522843Z,1.0.1,
2026-07-13,gitrahimi/gke-module/google/0.2.0,gitrahimi,gke-module,google,5048,False,https://github.com/gitrahimi/terraform-google-gke-module,2021-03-03T20:57:54.780577Z,0.2.0,This module creates a GKE cluster
2026-07-13,Aizhamal2312/vpc1/google/1.1.0,Aizhamal2312,vpc1,google,5047,False,https://github.com/Aizhamal2312/terraform-google-vpc11,2020-12-09T05:49:43.100649Z,1.1.0,
2026-07-13,tobi1972/module/google/1.0.0,tobi1972,module,google,5047,False,https://github.com/tobi1972/terraform-google-module,2020-12-11T03:03:42.647205Z,1.0.0,
2026-07-13,Ahmeddevops-Github/gke_cluster/google/2.0.0,Ahmeddevops-Github,gke_cluster,google,5047,False,https://github.com/ahmedak-devops/terraform-google-gke_cluster,2021-01-15T20:43:53.905839Z,2.0.0,
2026-07-13,Bekzhan-osh/vpc/google/5.1.0,Bekzhan-osh,vpc,google,5045,False,https://github.com/Bekzhan-osh/terraform-google-vpc,2020-12-10T22:59:30.625001Z,5.1.0,
2026-07-13,Gheorghe-Rodideal/kubernetes-engine/google/1.0.0,Gheorghe-Rodideal,kubernetes-engine,google,5044,False,https://github.com/grodideal/terraform-google-kubernetes-engine,2020-12-11T02:38:59.032689Z,1.0.0,
2026-07-13,shamal112mn/gke/google/2.0.0,shamal112mn,gke,google,5044,False,https://github.com/shamal112mn/terraform-google-gke,2020-12-11T04:55:33.675389Z,2.0.0,
2026-07-13,Aizhamal2312/vpc11/google/1.1.0,Aizhamal2312,vpc11,google,5043,False,https://github.com/Aizhamal2312/terraform-google-vpc11,2020-12-09T05:50:04.350719Z,1.1.0,
2026-07-13,Aksana-ozgon/kubernetes-engine/google/1.0.1,Aksana-ozgon,kubernetes-engine,google,5042,False,https://github.com/Aksana-ozgon/terraform-google-kubernetes-engine,2020-12-11T03:00:04.585278Z,1.0.1,
2026-07-13,Aizhamal2312/kubernetes-engine/google/1.0.1,Aizhamal2312,kubernetes-engine,google,5042,False,https://github.com/Aizhamal2312/terraform-google-kubernetes-engine,2020-12-11T03:22:48.856437Z,1.0.1,
2026-07-13,oguseva-a/modules/google/1.0.1,oguseva-a,modules,google,5041,False,https://github.com/oguseva-a/terraform-google-modules,2020-12-11T02:31:56.659608Z,1.0.1,
2026-07-13,nuraaly/kubernetes-engine/google/1.0.1,nuraaly,kubernetes-engine,google,5041,False,https://github.com/nuraaly/terraform-google-kubernetes-engine,2020-12-11T03:23:55.177557Z,1.0.1,
2026-07-13,Bekzhan-osh/kubernetes-engine/google/1.2.0,Bekzhan-osh,kubernetes-engine,google,5040,False,https://github.com/Bekzhan-osh/terraform-google-kubernetes-engine,2020-12-11T04:58:04.052263Z,1.2.0,
2026-07-13,lukasz-kuch/app-engine/google/1.0.2,lukasz-kuch,app-engine,google,5038,False,https://github.com/lukasz-kuch/terraform-google-app-engine,2021-04-26T11:25:01.677129Z,1.0.2,
2026-07-13,turdalieva/kubernetes-engine/google/1.0.0,turdalieva,kubernetes-engine,google,5037,False,https://github.com/turdalieva/terraform-google-kubernetes-engine,2020-12-11T03:07:35.356676Z,1.0.0,
2026-07-13,joekarl/nomad/google/0.1.1,joekarl,nomad,google,5035,False,https://github.com/joekarl/terraform-google-nomad,2021-04-12T22:30:12.557211Z,0.1.1,A Terraform Module for how to run Nomad on Google Cloud using Terraform and Packer
2026-07-13,tutac/kubernetes-engine/google/1.0.0,tutac,kubernetes-engine,google,5030,False,https://github.com/tutac/terraform-google-kubernetes-engine,2020-12-11T02:45:43.753064Z,1.0.0,
2026-07-13,SweetOps/network/google/0.1.0,SweetOps,network,google,5025,False,https://github.com/SweetOps/terraform-google-network,2021-04-07T09:55:22.436619Z,0.1.0,
2026-07-13,DeimosCloud/secret/google/1.0.0,DeimosCloud,secret,google,5019,False,https://github.com/DeimosCloud/terraform-google-secret,2022-05-14T14:51:39.688662Z,1.0.0,A terraform module to create google secrets on Secret Manager
2026-07-13,tomarv2/storage-bucket/google/0.0.1,tomarv2,storage-bucket,google,5013,False,https://github.com/tomarv2/terraform-google-storage-bucket,2022-02-24T06:08:29.405478Z,0.0.1,Terraform module for Google Storage Bucket
2026-07-13,lindeskar/dataflow-splunk/google/0.0.3,lindeskar,dataflow-splunk,google,5003,False,https://github.com/lindeskar/terraform-google-dataflow-splunk,2021-07-12T19:59:50.61983Z,0.0.3,Terraform module for setup of GCP logging to Splunk using Dataflow.
2026-07-13,combinator-ml/kubernetes/google/0.0.3,combinator-ml,kubernetes,google,4980,False,https://github.com/combinator-ml/terraform-google-kubernetes,2021-05-15T12:08:05.560372Z,0.0.3,Combinator Infra - A Kubernetes Cluster in Google Cloud Platform
2026-07-13,drandell/datacatalog/google/1.0.1,drandell,datacatalog,google,4967,False,https://github.com/drandell/terraform-google-datacatalog,2024-01-25T21:30:08.307767Z,1.0.1,Terraform module for using Data Catalog resources
2026-07-13,dansible/vault-gke/google/0.0.6,dansible,vault-gke,google,4959,False,https://github.com/dansible/terraform-google-vault-gke,2019-03-24T22:06:33.891266Z,0.0.6,Terraform module to deploy a GKE cluster with Vault using KMS encryption and GCS storage
