repo,tag,sha
terraform-aws-modules/terraform-aws-iam,v5.8.0,2984b29195ce526226267cd06a517e6bdcd91ccf
terraform-aws-modules/terraform-aws-iam,v5.7.0,3ec0f0fd5d360019231f14fc7431418b52deda0c
terraform-aws-modules/terraform-aws-iam,v5.6.0,4bd4c1e64bcce74c8d8f472f55c493500f4ac950
terraform-aws-modules/terraform-aws-iam,v5.5.7,3c5807bc75bc6bd4e7f3b23a0d1cdf2c93adaee8
terraform-aws-modules/terraform-aws-iam,v5.5.6,f26c5652bd084ceaebc124dcd93d6809e4418511
terraform-aws-modules/terraform-aws-iam,v5.5.5,37f2b5ea4658671c8c6311fc79d4e785fd4fe5cb
terraform-aws-modules/terraform-aws-iam,v5.5.4,23b50cb9305052379d505272551928937244220d
terraform-aws-modules/terraform-aws-iam,v5.5.3,99d64b6b4149363ea3e00fe3e7164f79da1e788e
terraform-aws-modules/terraform-aws-iam,v5.5.2,a95ccebcf769f9134210627afa6091384eab6136
terraform-aws-modules/terraform-aws-iam,v5.5.1,99c69ad54d985f67acf211885aa214a3a6cc931c
terraform-aws-modules/terraform-aws-iam,v5.5.0,c6adf429d4eb224b76819ad0f82e050880ca1558
terraform-aws-modules/terraform-aws-iam,v5.4.0,7c96f1f962c9c54e6a7631d681642011112b7bdd
terraform-aws-modules/terraform-aws-iam,v5.3.3,d6164989a94e1e9711e40e6fb0c374c2d3945149
terraform-aws-modules/terraform-aws-iam,v5.3.2,37f97c0a12da30e600f0ca171d2cd1c3c048b00d
terraform-aws-modules/terraform-aws-iam,v5.3.1,9210e6c6dc2bbd00065bc6f9212d04a0f49adec2
terraform-aws-modules/terraform-aws-iam,v5.3.0,ed6683e0a3ace4abaa3729e65d56259e09061812
terraform-aws-modules/terraform-aws-iam,v5.2.0,50ee5bb88a257c178000749c5947bde9a7d67048
terraform-aws-modules/terraform-aws-iam,v5.1.0,eebb8837ea69a8157141e7353f428cb39efc77e0
terraform-aws-modules/terraform-aws-iam,v5.0.0,be6303e95bdf017fcd8a03137526aaa5dee803c6
terraform-aws-modules/terraform-aws-iam,v4.24.1,6151579a496c2cbd86265ed7c7c5f203512de2aa
terraform-aws-modules/terraform-aws-iam,v4.24.0,8eb4ed828faab8e609713723dc2a5868575f0523
terraform-aws-modules/terraform-aws-iam,v4.23.0,2113ea9a06e19e6993bebcbe51f7e2f3830f5842
terraform-aws-modules/terraform-aws-iam,v4.22.1,2fb3c309a51f5bd0096d94df1f2186d807451b10
terraform-aws-modules/terraform-aws-iam,v4.22.0,f7e8c889cbbfb1f760a3e433444653ff3ceb5145
terraform-aws-modules/terraform-aws-iam,v4.21.1,69c9fceebf0018c00976a954e29360f121e2bcfa
terraform-aws-modules/terraform-aws-iam,v4.21.0,8ab86ca5a737621ae9349fe882352a369f789cf4
terraform-aws-modules/terraform-aws-iam,v4.20.3,ae3b6a41726a973d5f426c9e389c03e47a75434e
terraform-aws-modules/terraform-aws-iam,v4.20.2,f24150a8d8f348874c45fb83467e430be5c2aeff
terraform-aws-modules/terraform-aws-iam,v4.20.1,2f191264b37399fc3aac4946f1b2e69c0f16d1c0
terraform-aws-modules/terraform-aws-iam,v4.20.0,5b792f24f420f28684ea3c26c075b5d44fdcac1d
terraform-aws-modules/terraform-aws-iam,v4.19.0,2b65bd25d4f4feaa2dec315fa8bd0bf00091b18a
terraform-aws-modules/terraform-aws-iam,v4.18.0,a7c09efc5d39fc0615ad706ca180d28ec89135b0
terraform-aws-modules/terraform-aws-iam,v4.17.2,09609b122fdcb03ca951085cb8b44191ac2cfd2d
terraform-aws-modules/terraform-aws-iam,v4.17.1,c106c0096cee2cd1d2e3d0d599ec0f64ed6151ea
terraform-aws-modules/terraform-aws-iam,v4.17.0,4f6b2958cf498f7898daeacb245be536dddc6b3e
terraform-aws-modules/terraform-aws-iam,v4.16.0,a23326cb6988a378a8a755c58f78cd7d0175eedc
terraform-aws-modules/terraform-aws-iam,v4.15.1,81d5db32e39b3ec9f5b131eee0d9e7a39067331b
terraform-aws-modules/terraform-aws-iam,v4.15.0,eada402ba95252fdec1bec9ae0cead0c075a487c
terraform-aws-modules/terraform-aws-iam,v4.14.0,f1fecd9eb2dee781e63984d379f102eedc852600
terraform-aws-modules/terraform-aws-iam,v4.13.2,66c80ffbb5f063b0408e275d2a103fbacf634563
terraform-aws-modules/terraform-aws-iam,v4.13.1,73e4ae9099e1bb29d0d8ef394a58bab451becb2b
terraform-aws-modules/terraform-aws-iam,v4.13.0,21b3a1d2d4bac9bf6c72e2ad1aef88df73cb9c2f
terraform-aws-modules/terraform-aws-iam,v4.12.0,e1ce116a629c1eade18492d433b52d6cd1f03463
terraform-aws-modules/terraform-aws-iam,v4.11.0,9575b7e5c18be0aa5c068e93f4a6b2f91f35f886
terraform-aws-modules/terraform-aws-iam,v4.10.1,22d00218e6f43df2d27cec4a4fb1b8a91a6f3e37
terraform-aws-modules/terraform-aws-iam,v4.10.0,7bb7652104bd97b76c47ebad60c0531d359d65de
terraform-aws-modules/terraform-aws-iam,v4.9.0,e2cd87f3a7d7aff7e4fe397b56aaad839dc85c96
terraform-aws-modules/terraform-aws-iam,v4.8.0,5213e17dc46c36487b215a6117a7e619bb64b153
terraform-aws-modules/terraform-aws-iam,v4.7.0,cab883e39115c1e740bddeb8021c1a8c6f73ef52
terraform-aws-modules/terraform-aws-iam,v4.6.0,d6e2d4d83314f4c9abfbad1a6070ea5046bd0980
terraform-aws-modules/terraform-aws-iam,v4.5.0,f5aab59b944b37e8b2791c55b988e743082f415a
terraform-aws-modules/terraform-aws-iam,v4.4.0,5407865df965b8c69390e96824940b3275d4d0e9
terraform-aws-modules/terraform-aws-iam,v4.3.0,fc06fb04b9d691663279719399dc3f291d14532a
terraform-aws-modules/terraform-aws-iam,v4.2.0,af08c473c3fdf182124521d4332a121054a6abc2
terraform-aws-modules/terraform-aws-iam,v4.1.0,0f45669326a497bda0993f97f36588749450cee9
terraform-aws-modules/terraform-aws-iam,v4.0.0,ad99ddaa4a3a63352ab5f3d3c731536f56bb2cd2
terraform-aws-modules/terraform-aws-iam,v3.16.0,7b9ddc8a2671a4f3458fdcbf2f99ddcafbe860bc
terraform-aws-modules/terraform-aws-iam,v3.15.0,a8c20b522f21b89afb4629cac9f9fe1bf4e12f7c
terraform-aws-modules/terraform-aws-iam,v3.14.0,50e46b39ceb6f5a7d61754f5c9ea7ac93c63bb43
terraform-aws-modules/terraform-aws-iam,v3.13.0,e968c2a35c3efadf532f21ee68c7d01fc490b63f
terraform-aws-modules/terraform-aws-iam,v3.12.0,564ea413ce2b8057b82b18668ae75772c56b01ac
terraform-aws-modules/terraform-aws-iam,v3.11.0,60d30cc15f713e0fff901abacc42117c08e7af66
terraform-aws-modules/terraform-aws-iam,v3.10.0,1b1b80a9a99e16524f4fa6be3852e4ab04ed4f2e
terraform-aws-modules/terraform-aws-iam,v3.9.0,b6fbb49bd8f6d5d588b2f6eff03927c9d852f250
terraform-aws-modules/terraform-aws-iam,v3.8.0,e51b72952382a92bb7e0e00f4034e51386d81a4e
terraform-aws-modules/terraform-aws-iam,v3.7.0,ab959696f07a418918f274c77f4e6b63b65361c6
terraform-aws-modules/terraform-aws-iam,v3.6.0,96d710ea7663f66921695d1b61348e3ff07447d7
terraform-aws-modules/terraform-aws-iam,v3.5.0,70e7898ccc4a29e90eee9755800c173173b4ea74
terraform-aws-modules/terraform-aws-iam,v3.4.0,355669cf9a21f6c6d9e092418004e105bbc14d42
terraform-aws-modules/terraform-aws-iam,v3.3.0,09e0a48e431fccb73b97b7af57fef39a5049cb6f
terraform-aws-modules/terraform-aws-iam,v3.2.0,47f55f96997c6e596db6698d5f370358283d3f1e
terraform-aws-modules/terraform-aws-iam,v3.1.0,c77256d24ce703245636098332280db318571b73
