snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,egarbi/static-site/aws/1.0.4,egarbi,static-site,aws,7160,False,https://github.com/egarbi/terraform-aws-static-site,2019-02-14T17:52:08.755934Z,1.0.4,Module to create a fully functional static site in AWS based on CloudFront and S3
2026-07-13,kurron/iam/aws/0.14.0,kurron,iam,aws,7150,False,https://github.com/kurron/terraform-aws-iam,2019-02-14T18:06:38.30186Z,0.14.0,Terraform module that creates a set of common IAM roles
2026-07-13,Smartbrood/ec2-instance/aws/0.2.0,Smartbrood,ec2-instance,aws,7147,False,https://github.com/Smartbrood/terraform-aws-ec2-instance,2017-12-29T00:35:31.356618Z,0.2.0,Terraform module to EC2 instance.
2026-07-13,Smartbrood/data-ami/aws/0.2.0,Smartbrood,data-ami,aws,7138,False,https://github.com/Smartbrood/terraform-aws-data-ami,2018-01-07T15:31:28.734654Z,0.2.0,"Terraform module to get Ubuntu, Centos, AWS ECS optimized AMI IDs for working region"
2026-07-13,eric-gonzales/acm-certificate/aws/0.0.1,eric-gonzales,acm-certificate,aws,7138,False,https://github.com/eric-gonzales/terraform-aws-acm-certificate,2018-03-08T16:17:10.8917Z,0.0.1,Terraform module that allows users to query for AWS Certificate Manager (ACM) managed certificates by domain name
2026-07-13,anugnes/bastion/aws/1.0.3,anugnes,bastion,aws,7133,False,https://github.com/anugnes/terraform-aws-bastion,2017-12-19T16:24:10.501828Z,1.0.3,Terraform module to deploy a bastion host in a custom VPC
2026-07-13,vistaprint/dynamodb-tables/aws/0.0.1,vistaprint,dynamodb-tables,aws,7131,False,https://github.com/vistaprint/terraform-aws-dynamodb-tables,2018-01-10T13:47:04.807655Z,0.0.1,
2026-07-13,azavea/s3-origin/aws/2.0.0,azavea,s3-origin,aws,7127,False,https://github.com/azavea/terraform-aws-s3-origin,2020-08-13T21:38:07.11269Z,2.0.0,A terraform module to create an S3 origin for use with CloudFront.
2026-07-13,cloudposse/ec2-ami-snapshot/aws/0.2.3,cloudposse,ec2-ami-snapshot,aws,7124,False,https://github.com/cloudposse/terraform-aws-ec2-ami-snapshot,2019-02-14T17:30:40.173195Z,0.2.3,Terraform module to easily generate AMI snapshots to create replica instances
2026-07-13,azavea/ecs-web-service/aws/0.4.0,azavea,ecs-web-service,aws,7122,False,https://github.com/azavea/terraform-aws-ecs-web-service,2019-02-14T17:09:59.957334Z,0.4.0,A Terraform module to create an Amazon Web Services (AWS) EC2 Container Service (ECS) service associated with an Application Load Balancer (ALB).
2026-07-13,kurron/ec2/aws/0.9.0,kurron,ec2,aws,7121,False,https://github.com/kurron/terraform-aws-ec2,2017-10-29T15:10:24.331004Z,0.9.0,A Terraform plan that populates an existing VPC with subnets and EC2 instances.
2026-07-13,azavea/memcached-elasticache/aws/1.0.0,azavea,memcached-elasticache,aws,7120,False,https://github.com/azavea/terraform-aws-memcached-elasticache,2019-02-14T17:09:59.49566Z,1.0.0,A Terraform module to create an Amazon Web Services (AWS) Memcached ElastiCache cluster.
2026-07-13,kurron/vpc/aws/0.9.1,kurron,vpc,aws,7113,False,https://github.com/kurron/terraform-aws-vpc,2019-02-14T18:06:36.893539Z,0.9.1,Opinionated Terraform module that creates a VPC with subnets in all availability zones
2026-07-13,KoeSystems/vpc/aws/0.5.0,KoeSystems,vpc,aws,7113,False,https://github.com/KoeSystems/terraform-aws-vpc,2018-06-01T14:12:14.896954Z,0.5.0,Terraform AWS VPC module
2026-07-13,kurron/api-key/aws/0.9.0,kurron,api-key,aws,7111,False,https://github.com/kurron/terraform-aws-api-key,2017-10-29T14:56:37.686972Z,0.9.0,"Terraform module that creates an API Gateway API key, complete with restrictions"
2026-07-13,santi698/ecs-cluster/aws/1.0.2,santi698,ecs-cluster,aws,7108,False,https://github.com/santi698/terraform-aws-ecs-cluster,2017-10-13T21:44:47.641826Z,1.0.2,A Terraform module to create an Amazon Web Services (AWS) EC2 Container Service (ECS) cluster.
2026-07-13,kurron/ec2-park/aws/0.9.0,kurron,ec2-park,aws,7103,False,https://github.com/kurron/terraform-aws-ec2-park,2017-10-29T15:15:13.436262Z,0.9.0,Terraform module that starts/stops EC2 instances on a schedule
2026-07-13,joshdurbin/canary-security-sensor-capture-rest-api/aws/0.0.1,joshdurbin,canary-security-sensor-capture-rest-api,aws,7101,False,https://github.com/joshdurbin/terraform-aws-canary-security-sensor-capture-rest-api,2017-10-13T21:40:31.780389Z,0.0.1,A TF module for periodically checking in with the Canary API to capture and store Canary sensor data in dynamodb tables and produce an API endpoint for accessing the data.
